% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.26   36.978506          66    555031           writev
 29.02   28.795448         719     40022           epoll_wait
 26.71   26.505616          46    569256      3003 readv
  1.81    1.796082        1299      1382       451 futex
  1.23    1.223403          56     21721           close
  1.18    1.170459          26     43446           epoll_ctl
  0.95    0.937996          42     22137       414 accept4
  0.65    0.641258          30     20792           write
  0.63    0.620320          28     21725           setsockopt
  0.55    0.545991          26     20647           read
  0.01    0.008210          51       160           mprotect
  0.00    0.003017          35        86           mmap
  0.00    0.002784         103        27           munmap
  0.00    0.001765           9       193           brk
  0.00    0.000513          85         6           clone3
  0.00    0.000364          19        19           rt_sigprocmask
  0.00    0.000211          70         3           madvise
  0.00    0.000136          19         7           rseq
  0.00    0.000107          15         7           openat
  0.00    0.000102          17         6           epoll_create1
  0.00    0.000097          13         7           set_robust_list
  0.00    0.000057           9         6           eventfd2
  0.00    0.000034          11         3           rt_sigaction
  0.00    0.000024          24         1           socket
  0.00    0.000021           3         6           fstat
  0.00    0.000021           7         3           prlimit64
  0.00    0.000016          16         1           listen
  0.00    0.000015          15         1           bind
  0.00    0.000008           8         1           getrandom
  0.00    0.000007           7         1           rt_sigreturn
  0.00    0.000007           3         2           pread64
  0.00    0.000007           7         1           arch_prctl
  0.00    0.000007           7         1           set_tid_address
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00   99.232609          75   1316709      3869 total
